City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,ancud,-41.8697,-73.8203,7.78,86,0,1.34,CL,1667264311
219,morshansk,53.4435,41.8107,0.62,98,100,2.24,RU,1667264312
220,aguada de pasajeros,22.385,-80.8508,23.58,91,13,2.59,CU,1667264312
221,coihaique,-45.5752,-72.0662,10.34,46,0,2.06,CL,1667264312
222,demyanovo,60.3511,47.0842,0.12,82,95,4.65,RU,1667264313
223,gedo,9.0167,37.45,8.81,56,23,1.32,ET,1667264313
224,yenagoa,4.9247,6.2642,24.69,91,100,1.46,NG,1667264313
225,roald,62.5833,6.1333,14.51,71,19,3.6,NO,1667264314
226,guanare,9.0418,-69.7421,23.49,96,100,1.28,VE,1667264314
227,isla mujeres,21.2311,-86.731,25.65,72,0,4.0,MX,1667264314
228,bonito,-21.1211,-56.4819,11.2,91,100,6.64,BR,1667264315
229,racale,39.9631,18.0938,18.36,81,5,2.71,IT,1667264315
230,sokoni,-6.4333,39.55,22.92,73,96,5.06,TZ,1667264315
231,xuddur,4.1213,43.8894,22.15,90,26,4.54,SO,1667264315
232,jizan,17.3333,42.6667,27.52,59,91,2.39,SA,1667264316
233,waipawa,-41.4122,175.5153,18.02,46,0,5.38,NZ,1667264316
234,ambon,-3.6954,128.1814,30.08,74,40,1.54,ID,1667264317
235,edmundston,47.3737,-68.3251,12.04,87,100,0.51,CA,1667264317
236,axim,4.8699,-2.2405,25.39,87,99,1.78,GH,1667264317
237,kipushi,-11.7667,27.2333,19.79,69,100,1.29,CD,1667264318
238,kaeo,-35.1,173.7833,20.68,63,19,3.2,NZ,1667264318
239,sinazongwe,-17.2614,27.4618,26.11,60,100,5.16,ZM,1667264318
240,tupancireta,-29.0806,-53.8358,5.46,94,3,3.09,BR,1667264318
241,neiafu,-18.65,-173.9833,28.38,74,75,3.09,TO,1667264319
242,bayburt,40.2589,40.2278,3.14,91,20,1.89,TR,1667264319
243,birnin kebbi,12.4539,4.1975,24.79,26,0,3.64,NG,1667264320
244,tocopilla,-22.092,-70.1979,17.22,64,0,0.66,CL,1667264320
245,milkovo,54.7167,158.6167,-2.26,50,20,0.57,RU,1667264320
246,hasaki,35.7333,140.8333,17.38,69,100,4.55,JP,1667264320
247,koregaon,18.65,74.0833,18.07,71,0,1.66,IN,1667264321
248,kapit,2.0167,112.9333,24.75,94,100,1.27,MY,1667264321
249,tasiilaq,65.6145,-37.6368,1.09,97,100,6.39,GL,1667263734
250,glossop,53.4432,-1.949,12.61,92,100,3.82,GB,1667264321
251,xiongzhou,25.1167,114.3,21.05,49,100,6.05,CN,1667264322
252,nurota,40.5614,65.6886,11.52,64,0,3.17,UZ,1667264322
253,mazagao,-0.115,-51.2894,28.03,79,99,3.0,BR,1667264322
254,khash,28.2211,61.2158,16.62,40,2,1.04,IR,1667264323
255,vadso,70.0744,29.7487,1.09,86,40,1.54,NO,1667264323
256,ahipara,-35.1667,173.1667,20.05,64,1,1.63,NZ,1667264323
257,caravelas,-17.7125,-39.2481,24.72,86,18,4.33,BR,1667264324
258,katherine,-14.4667,132.2667,35.18,29,13,3.09,AU,1667264324
259,hambantota,6.1241,81.1185,25.19,100,40,1.54,LK,1667264324
260,maracacume,-2.0428,-45.9592,24.85,82,24,2.2,BR,1667264325
261,tingi,-11.3,35.0333,18.14,54,29,2.61,TZ,1667264325
262,dikson,73.5069,80.5464,-3.62,97,100,3.58,RU,1667264325
